state,location,address,latitude,longitude
NJ,"#1 Pine Valley, NJ","#1 Pine Valley, NJ",39.7920871480966,-74.9721350445647
GA,"#2 Augusta National, GA","#2 Augusta National, GA",33.5022885694814,-82.0226061447444
CA,"#3 Cypress Point Club, CA","#3 Cypress Point Club, CA",36.5803713434268,-121.974094173495
NY,"#4 Shinnecock Hills G.C., NY","#4 Shinnecock Hills G.C., NY",40.89424354312,-72.439670115695
PA,"#5 Oakmont G.C., PA","#5 Oakmont G.C., PA",40.5260418713665,-79.8268900310483
PA,"#6 Merion G.C., PA","#6 Merion G.C., PA",40.0020246315005,-75.311803802229
CA,"#7 Pebble Beach G. Links, CA","#7 Pebble Beach G. Links, CA",36.5698362301393,-121.949723315825
NY,"#8 National G. Links of America, NY","#8 National G. Links of America, NY",40.9137639877688,-72.453637788707
NE,"#9 Sand Hills G.C., NE","#9 Sand Hills G.C., NE",41.8554069116442,-101.092740086829
NY,"#10 Fishers Island Club, NY","#10 Fishers Island Club, NY",41.2809096454023,-71.9477912696743
